CallID,CallStarts,CallEnds,CustomerAcc,CustomerAge,CustomerPhone,OperatorID,LocationID,Sector,CallSatisfaction
1938,2023-02-17 21:40:23,2023-02-17 21:48:14,ACC035,50,+100 44-79-244,P0011,LOC004,Services,0.2229
1939,2023-02-18 22:05:13,2023-02-18 22:14:44,ACC0403,68,+34 60-447-612,P0017,LOC003,Healthcare,0.5563
1940,2023-02-19 12:55:39,2023-02-19 12:57:37,ACC062,77,+34 71-106-271,P0013,LOC006,Cross-Industry,0.6378
1941,2023-02-19 18:58:14,2023-02-19 19:06:30,ACC0236,41,+200 69-280-445,P0004,LOC008,Government,0.8296
1942,2023-02-19 20:11:29,2023-02-19 20:27:44,ACC0511,36,+200 80-555-720,P0018,LOC001,Services,0.3612
1943,2023-02-20 22:59:35,2023-02-20 23:01:22,ACC0473,68,+100 42-517-682,P0011,LOC003,Healthcare,0.0416
1944,2023-02-21 04:07:13,2023-02-21 04:23:08,ACC0381,46,+34 38-425-590,P0005,LOC008,Retail,0.8717
1945,2023-02-21 07:36:34,2023-02-21 07:58:27,ACC0329,64,+56 74-373-538,P0010,LOC001,Services,0.7726
1946,2023-02-21 23:34:50,2023-02-21 23:53:55,ACC0129,74,+26 50-173-338,P0012,LOC005,Retail,0.1106
1947,2023-02-22 08:52:06,2023-02-22 08:57:21,ACC0220,25,+100 53-264-429,P0011,LOC004,Retail,0.6255
1948,2023-02-22 11:11:55,2023-02-22 11:25:33,ACC0379,44,+200 36-423-588,P0010,LOC001,Other,0.0529
1949,2023-02-22 13:45:21,2023-02-22 13:46:59,ACC0524,49,+34 93-568-733,P0018,LOC009,Cross-Industry,0.4927
1950,2023-02-23 03:36:45,2023-02-23 03:39:46,ACC0491,16,+34 60-535-700,P0010,LOC003,Other,0.9947
1951,2023-02-23 18:25:24,2023-02-23 18:30:25,ACC0359,24,+34 16-403-568,P0014,LOC007,Other,0.1909
1952,2023-02-23 23:15:52,2023-02-23 23:32:01,ACC06,21,+36 15-50-215,P0007,LOC007,Cross-Industry,0.7360
1953,2023-02-25 10:39:12,2023-02-25 11:02:45,ACC0216,21,+34 49-260-425,P0006,LOC001,Cross-Industry,0.3266
1954,2023-02-25 11:16:32,2023-02-25 11:41:08,ACC0445,40,+200 14-489-654,P0003,LOC004,Healthcare,0.8551
1955,2023-02-25 12:27:15,2023-02-25 12:51:40,ACC0401,66,+200 58-445-610,P0013,LOC005,Other,0.7855
1956,2023-02-25 16:16:43,2023-02-25 16:36:57,ACC066,81,+100 75-110-275,P0009,LOC004,Retail,0.2020
1957,2023-02-26 11:43:23,2023-02-26 11:54:35,ACC069,84,+44 78-113-278,P0016,LOC008,Cross-Industry,0.1219
1958,2023-02-27 00:27:07,2023-02-27 00:51:04,ACC0205,80,+34 38-249-414,P0019,LOC002,Other,0.5262
1959,2023-02-27 01:30:12,2023-02-27 01:46:39,ACC0454,49,+44 23-498-663,P0019,LOC005,Cross-Industry,0.1849
1960,2023-02-27 07:11:03,2023-02-27 07:32:55,ACC0186,61,+56 19-230-395,P0007,LOC002,Healthcare,0.9055
1961,2023-02-27 13:07:45,2023-02-27 13:28:22,ACC0287,22,+100 32-331-496,P0019,LOC002,Services,0.1749
1962,2023-02-27 22:31:18,2023-02-27 22:46:30,ACC0284,19,+43 29-328-493,P0017,LOC003,Healthcare,0.0042
1963,2023-02-28 08:33:04,2023-02-28 08:39:36,ACC0499,24,+46 68-543-708,P0017,LOC001,Other,0.2137
1964,2023-02-28 09:44:50,2023-02-28 10:09:14,ACC0122,67,+100 43-166-331,P0012,LOC005,Retail,0.3517
1965,2023-02-28 12:39:19,2023-02-28 12:53:30,ACC032,47,+56 41-76-241,P0014,LOC007,Healthcare,0.9591
1966,2023-02-28 19:44:08,2023-02-28 20:02:31,ACC077,22,+100 86-121-286,P0019,LOC001,Services,0.2760
1967,2023-03-01 20:45:41,2023-03-01 21:09:07,ACC0493,18,+43 62-537-702,P0018,LOC009,Retail,0.3394
1968,2023-03-02 15:49:13,2023-03-02 16:11:27,ACC0198,73,+100 31-242-407,P0010,LOC005,Other,0.0648
1969,2023-03-02 23:42:03,2023-03-03 00:07:21,ACC0501,26,+36 70-545-710,P0018,LOC001,Healthcare,0.0947
1970,2023-03-03 14:56:42,2023-03-03 15:03:51,ACC0385,50,+100 42-429-594,P0014,LOC005,Services,0.7041
1971,2023-03-04 02:06:09,2023-03-04 02:26:20,ACC0306,41,+43 51-350-515,P0019,LOC005,Government,0.1402
1972,2023-03-04 07:02:17,2023-03-04 07:13:43,ACC091,36,+44 12-135-300,P0017,LOC009,Services,0.4868
1973,2023-03-04 14:27:22,2023-03-04 14:39:33,ACC0572,27,+100 53-616-781,P0009,LOC001,Government,0.9368
1974,2023-03-04 21:41:17,2023-03-04 22:01:50,ACC0551,76,+100 32-595-760,P0007,LOC008,Government,0.4747
1975,2023-03-05 05:33:09,2023-03-05 05:49:58,ACC0357,22,+200 14-401-566,P0010,LOC001,Services,0.1676
1976,2023-03-05 06:08:52,2023-03-05 06:14:33,ACC048,63,+46 57-92-257,P0006,LOC001,Cross-Industry,0.3386
1977,2023-03-05 11:50:51,2023-03-05 12:03:15,ACC0218,23,+43 51-262-427,P0010,LOC002,Other,0.5600
1978,2023-03-05 16:07:31,2023-03-05 16:10:52,ACC021,36,+56 30-65-230,P0019,LOC002,Services,0.6033
1979,2023-03-05 18:05:11,2023-03-05 18:26:31,ACC0549,74,+56 30-593-758,P0016,LOC009,Retail,0.2343
1980,2023-03-05 18:51:50,2023-03-05 19:08:27,ACC0115,60,+200 36-159-324,P0018,LOC002,Retail,0.5078
1981,2023-03-06 00:41:29,2023-03-06 01:06:18,ACC0208,83,+56 41-252-417,P0002,LOC004,Government,0.7912
1982,2023-03-07 11:19:45,2023-03-07 11:26:33,ACC0299,34,+100 44-343-508,P0009,LOC001,Government,0.5254
1983,2023-03-07 12:59:36,2023-03-07 13:02:39,ACC092,37,+46 13-136-301,P0003,LOC004,Other,0.0697
1984,2023-03-08 08:01:44,2023-03-08 08:05:43,ACC0259,64,+36 92-303-468,P0013,LOC006,Services,0.3501
1985,2023-03-08 23:07:23,2023-03-08 23:24:00,ACC0414,79,+34 71-458-623,P0013,LOC004,Other,0.2855
1986,2023-03-09 15:29:45,2023-03-09 15:31:26,ACC0551,76,+100 32-595-760,P0008,LOC008,Government,0.3084
1987,2023-03-10 04:53:38,2023-03-10 05:05:21,ACC093,38,+200 14-137-302,P0015,LOC007,Other,0.1295
1988,2023-03-10 18:19:22,2023-03-10 18:42:12,ACC0498,23,+44 67-542-707,P0017,LOC009,Other,0.9276
1989,2023-03-11 05:03:51,2023-03-11 05:29:04,ACC028,43,+36 37-72-237,P0006,LOC001,Services,0.6399
1990,2023-03-11 18:25:39,2023-03-11 18:36:33,ACC0475,70,+100 44-519-684,P0006,LOC001,Cross-Industry,0.0713
1991,2023-03-12 05:38:53,2023-03-12 05:53:22,ACC0478,73,+200 47-522-687,P0010,LOC003,Other,0.5845
1992,2023-03-12 23:23:22,2023-03-12 23:36:28,ACC0164,39,+56 85-208-373,P0018,LOC003,Retail,0.8651
1993,2023-03-13 05:59:10,2023-03-13 06:02:56,ACC0217,22,+26 50-261-426,P0015,LOC008,Services,0.4102
1994,2023-03-13 21:50:30,2023-03-13 21:56:13,ACC0389,54,+46 46-433-598,P0009,LOC009,Healthcare,0.8388
1995,2023-03-14 04:56:48,2023-03-14 04:59:40,ACC081,26,+46 90-125-290,P0001,LOC002,Healthcare,0.7278
1996,2023-03-14 19:11:53,2023-03-14 19:29:29,ACC0213,18,+46 46-257-422,P0013,LOC008,Retail,0.8392
1997,2023-03-16 00:47:14,2023-03-16 01:00:51,ACC0433,28,+46 90-477-642,P0004,LOC005,Cross-Industry,0.3095
1998,2023-03-16 01:59:57,2023-03-16 02:21:02,ACC0376,41,+100 33-420-585,P0004,LOC005,Government,0.0980
1999,2023-03-16 12:32:19,2023-03-16 12:54:18,ACC0111,56,+100 32-155-320,P0014,LOC009,Cross-Industry,0.8346
2000,2023-03-16 18:35:41,2023-03-16 18:51:14,ACC0546,71,+34 27-590-755,P0015,LOC001,Services,0.1556
2001,2023-03-16 22:48:07,2023-03-16 23:04:33,ACC0106,51,+34 27-150-315,P0012,LOC006,Other,0.0883
2002,2023-03-17 00:37:46,2023-03-17 00:56:57,ACC0290,25,+46 35-334-499,P0005,LOC001,Retail,0.4561
2003,2023-03-17 13:33:41,2023-03-17 13:51:27,ACC0396,61,+100 53-440-605,P0013,LOC005,Healthcare,0.2035
2004,2023-03-18 01:40:28,2023-03-18 01:46:16,ACC0286,21,+100 31-330-495,P0002,LOC007,Cross-Industry,0.9662
2005,2023-03-18 05:08:47,2023-03-18 05:22:07,ACC0322,57,+44 67-366-531,P0019,LOC002,Services,0.9240
2006,2023-03-18 08:23:19,2023-03-18 08:48:47,ACC0196,71,+43 29-240-405,P0006,LOC002,Services,0.2219
2007,2023-03-18 19:11:05,2023-03-18 19:16:50,ACC0372,37,+43 29-416-581,P0011,LOC003,Other,0.3021
2008,2023-03-18 22:31:49,2023-03-18 22:33:34,ACC018,33,+34 27-62-227,P0004,LOC008,Healthcare,0.6668
2009,2023-03-19 09:13:12,2023-03-19 09:20:46,ACC0170,45,+200 91-214-379,P0019,LOC002,Other,0.4187
2010,2023-03-19 19:15:07,2023-03-19 19:32:53,ACC0513,38,+34 82-557-722,P0007,LOC007,Other,0.3084
2011,2023-03-19 23:04:16,2023-03-19 23:25:57,ACC0481,76,+26 50-525-690,P0012,LOC006,Government,0.3654
2012,2023-03-20 12:35:45,2023-03-20 12:56:37,ACC0503,28,+26 72-547-712,P0003,LOC005,Cross-Industry,0.3412
2013,2023-03-20 20:59:27,2023-03-20 21:19:44,ACC0219,24,+56 52-263-428,P0013,LOC007,Other,0.8068
2014,2023-03-21 04:37:36,2023-03-21 04:42:26,ACC0383,48,+43 40-427-592,P0001,LOC006,Government,0.2520
2015,2023-03-21 06:38:18,2023-03-21 06:44:54,ACC0234,39,+44 67-278-443,P0015,LOC001,Retail,0.2606
2016,2023-03-21 08:41:18,2023-03-21 09:04:36,ACC0114,59,+46 35-158-323,P0016,LOC009,Other,0.6584
2020,2023-03-23 03:03:45,2023-03-23 03:11:33,ACC0291,26,+200 36-335-500,P0007,LOC008,Healthcare,0.7141
2021,2023-03-23 14:52:38,2023-03-23 15:02:11,ACC0332,67,+100 77-376-541,P0006,LOC008,Retail,0.9867
2022,2023-03-23 18:02:55,2023-03-23 18:23:06,ACC0586,41,+44 67-630-795,P0010,LOC002,Government,0.7586
2023,2023-03-23 19:01:06,2023-03-23 19:14:03,ACC0145,20,+100 66-189-354,P0007,LOC007,Government,0.2059
2024,2023-03-23 23:03:51,2023-03-23 23:16:00,ACC0170,45,+200 91-214-379,P0013,LOC007,Other,0.5047
2025,2023-03-24 04:10:24,2023-03-24 04:31:03,ACC0330,65,+100 75-374-539,P0004,LOC004,Other,0.0086
2026,2023-03-25 12:06:58,2023-03-25 12:26:12,ACC061,76,+36 70-105-270,P0008,LOC001,Government,0.5322
2027,2023-03-25 19:52:39,2023-03-25 19:58:54,ACC0560,85,+56 41-604-769,P0015,LOC007,Services,0.9328
2028,2023-03-26 02:30:16,2023-03-26 02:31:20,ACC084,29,+34 93-128-293,P0004,LOC004,Services,0.9035
2029,2023-03-26 06:36:54,2023-03-26 06:40:53,ACC0521,46,+46 90-565-730,P0001,LOC002,Retail,0.8951
2030,2023-03-26 23:30:15,2023-03-26 23:36:08,ACC0485,80,+100 54-529-694,P0002,LOC007,Other,0.4967
2031,2023-03-27 13:53:52,2023-03-27 14:03:28,ACC0542,67,+44 23-586-751,P0011,LOC004,Retail,0.3522
2032,2023-03-28 03:56:20,2023-03-28 04:09:58,ACC0438,33,+43 95-482-647,P0014,LOC007,Healthcare,0.3954
2033,2023-03-28 19:48:52,2023-03-28 20:02:10,ACC0540,65,+100 21-584-749,P0003,LOC008,Other,0.9184
2034,2023-03-30 03:29:01,2023-03-30 03:52:53,ACC0408,73,+100 65-452-617,P0008,LOC002,Other,0.1501
2035,2023-03-30 15:50:32,2023-03-30 16:02:22,ACC0177,52,+100 10-221-386,P0014,LOC005,Other,0.9260
2036,2023-03-31 17:21:22,2023-03-31 17:43:43,ACC0189,64,+100 22-233-398,P0010,LOC005,Services,0.1536
2037,2023-03-31 17:29:59,2023-03-31 17:40:37,ACC0521,46,+46 90-565-730,P0016,LOC009,Retail,0.6082
2038,2023-03-31 21:24:42,2023-03-31 21:38:45,ACC0587,42,+46 68-631-796,P0018,LOC003,Cross-Industry,0.7976
2039,2023-04-02 01:02:59,2023-04-02 01:06:00,ACC091,36,+44 12-135-300,P0009,LOC004,Services,0.4613
